GameID,BoardSize,PlayerX,PlayerO,Winner,NumTurns,TotalRunTimeSec
1,3x3,MinimaxAI,AlphaBetaAI,Draw,9,8.496561
2,3x3,MinimaxAI,ExpectiminimaxAI,X,7,8.540864
3,3x3,GeminiAI,MinimaxAI,Draw,9,3.468282
4,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.523863
5,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.402016
6,3x3,MinimaxAI,MinimaxAI,Draw,0,12.638835
7,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.835874
8,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.478285
9,3x3,MinimaxAI,AlphaBetaAI,Draw,9,9.817027
10,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.370456
11,3x3,GeminiAI,MinimaxAI,Draw,9,3.390811
12,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.801467
13,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.314835
14,3x3,MinimaxAI,MinimaxAI,Draw,0,10.739872
15,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.807987
16,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.375757
17,3x3,MinimaxAI,AlphaBetaAI,Draw,9,9.226030
18,3x3,MinimaxAI,ExpectiminimaxAI,X,7,8.835214
19,3x3,GeminiAI,MinimaxAI,O,8,3.590403
20,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.582821
21,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.193023
22,3x3,MinimaxAI,MinimaxAI,Draw,0,11.998071
23,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.712647
24,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.370917
25,3x3,MinimaxAI,AlphaBetaAI,Draw,9,9.092458
26,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.405250
27,3x3,GeminiAI,MinimaxAI,Draw,9,3.784438
28,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.880045
29,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.270127*
30,3x3,MinimaxAI,MinimaxAI,Draw,0,9.786347
31,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.807090
32,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.393443
33,3x3,MinimaxAI,AlphaBetaAI,Draw,9,9.369761
34,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.303012
35,3x3,GeminiAI,MinimaxAI,Draw,9,3.192464
36,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.666971
37,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.230380
38,3x3,MinimaxAI,MinimaxAI,Draw,0,9.952590
39,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.762038
40,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.361242
41,3x3,MinimaxAI,AlphaBetaAI,Draw,9,9.240642
42,3x3,MinimaxAI,ExpectiminimaxAI,X,7,8.940694
43,3x3,GeminiAI,MinimaxAI,Draw,9,4.607207
44,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.636194
45,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.261717
46,3x3,MinimaxAI,MinimaxAI,Draw,0,9.879147
47,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.795086
48,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.391021
49,3x3,MinimaxAI,AlphaBetaAI,Draw,9,8.859171
50,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.076989
51,3x3,GeminiAI,MinimaxAI,Draw,9,3.644233
52,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.642358
53,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.325464
54,3x3,MinimaxAI,MinimaxAI,Draw,0,10.298306
55,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.763164
56,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.387798
57,3x3,MinimaxAI,AlphaBetaAI,Draw,9,8.688350
58,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.224766
59,3x3,GeminiAI,MinimaxAI,Draw,9,5.038447
60,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.597485
61,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.203997
62,3x3,MinimaxAI,MinimaxAI,Draw,0,9.960951
63,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.789208
64,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.383232
65,3x3,MinimaxAI,AlphaBetaAI,Draw,9,8.945196
66,3x3,MinimaxAI,ExpectiminimaxAI,X,7,8.990577
67,3x3,GeminiAI,MinimaxAI,Draw,9,5.608198
68,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.614325
69,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.271555
70,3x3,MinimaxAI,MinimaxAI,Draw,0,9.680727
71,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.870729
72,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.436956
73,3x3,MinimaxAI,AlphaBetaAI,Draw,9,8.925452
74,3x3,MinimaxAI,ExpectiminimaxAI,X,7,9.402101
75,3x3,GeminiAI,MinimaxAI,Draw,9,4.295142
76,3x3,AlphaBetaAI,MinimaxAI,Draw,0,1.620926
77,3x3,ExpectiminimaxAI,MinimaxAI,Draw,0,1.168089
78,3x3,MinimaxAI,MinimaxAI,Draw,0,9.915428
79,3x3,AlphaBetaAI,AlphaBetaAI,Draw,0,0.746840
80,3x3,ExpectiminimaxAI,ExpectiminimaxAI,X,0,0.444506
81,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.311399
82,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.035812
83,4x4,GeminiAI,MinimaxAI,Draw,16,38.442194
84,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.332013
85,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.737466
86,4x4,MinimaxAI,MinimaxAI,Draw,0,0.294338
87,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.257129
88,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.430859
89,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.288729
90,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.045884
91,4x4,GeminiAI,MinimaxAI,Draw,16,27.280742
92,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.308833
93,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.839850
94,4x4,MinimaxAI,MinimaxAI,Draw,0,0.316104
95,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.278255
96,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.403440
97,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.344016
98,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,3.956669
99,4x4,GeminiAI,MinimaxAI,Draw,16,6.532871
100,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.309362
101,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.910560
102,4x4,MinimaxAI,MinimaxAI,Draw,0,0.320041
103,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.266225
104,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.535467
105,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.302868
106,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.037610
107,4x4,GeminiAI,MinimaxAI,Draw,16,6.505760
108,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.302548
109,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,7.409825
110,4x4,MinimaxAI,MinimaxAI,Draw,0,0.327991
111,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.287265
112,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.711682
113,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.311671
114,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,3.952208
115,4x4,GeminiAI,MinimaxAI,Draw,16,7.726968
116,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.302227
117,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.960584
118,4x4,MinimaxAI,MinimaxAI,Draw,0,0.347421
119,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.280830
120,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.719970
121,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.310664
122,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.065325
123,4x4,GeminiAI,MinimaxAI,Draw,16,5.378560
124,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.298972
125,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.931613
126,4x4,MinimaxAI,MinimaxAI,Draw,0,0.322737
127,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.308575
128,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.945493
129,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.321674
130,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,3.890943
131,4x4,GeminiAI,MinimaxAI,Draw,16,10.261019
132,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.285067
133,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,7.034900
134,4x4,MinimaxAI,MinimaxAI,Draw,0,0.316671
135,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.280677
136,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.467854
137,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.382461
138,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.066707
139,4x4,GeminiAI,MinimaxAI,Draw,16,5.123024
140,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.274665
141,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,7.019916
142,4x4,MinimaxAI,MinimaxAI,Draw,0,0.370525
143,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.320479
144,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.803926
145,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.300418
146,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,3.898863
147,4x4,GeminiAI,MinimaxAI,Draw,16,4.374443
148,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.318845
149,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,7.209074
150,4x4,MinimaxAI,MinimaxAI,Draw,0,0.333674
151,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.276041
152,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,11.179467
153,4x4,MinimaxAI,AlphaBetaAI,Draw,16,0.321302
154,4x4,MinimaxAI,ExpectiminimaxAI,Draw,16,4.068117
155,4x4,GeminiAI,MinimaxAI,Draw,16,5.445816
156,4x4,AlphaBetaAI,MinimaxAI,Draw,0,0.293442
157,4x4,ExpectiminimaxAI,MinimaxAI,Draw,0,6.990090
158,4x4,MinimaxAI,MinimaxAI,Draw,0,0.344800
159,4x4,AlphaBetaAI,AlphaBetaAI,Draw,0,0.292989
160,4x4,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,10.702690
161,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.217949
162,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,61.085626
163,5x5,GeminiAI,MinimaxAI,Draw,25,10.012712
164,5x5,AlphaBetaAI,MinimaxAI,Draw,0,3.430060
165,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,106.792564
166,5x5,MinimaxAI,MinimaxAI,Draw,0,2.534806
167,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.020616
168,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,166.367345
169,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.586021
170,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,60.275632
171,5x5,GeminiAI,MinimaxAI,Draw,25,12.172087
172,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.462495
173,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,107.882835
174,5x5,MinimaxAI,MinimaxAI,Draw,0,2.498326
175,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,1.996939
176,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,165.557515
177,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.192794
178,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,61.141651
179,5x5,GeminiAI,MinimaxAI,Draw,25,10.340448
180,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.176569
181,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,109.222944
182,5x5,MinimaxAI,MinimaxAI,Draw,0,2.547599
183,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.096934
184,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,165.611820
185,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.244751
186,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,59.478626
187,5x5,GeminiAI,MinimaxAI,Draw,25,9.520810
188,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.134923
189,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,110.834337
190,5x5,MinimaxAI,MinimaxAI,Draw,0,2.632486
191,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,1.936839
192,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,166.260121
193,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.362702
194,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,60.847272
195,5x5,GeminiAI,MinimaxAI,Draw,25,12.418664
196,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.175368
197,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,107.381006
198,5x5,MinimaxAI,MinimaxAI,Draw,0,2.469182
199,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.019381
200,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,168.458464
201,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.171412
202,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,62.592408
203,5x5,GeminiAI,MinimaxAI,Draw,25,10.747945
204,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.169680
205,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,108.451781
206,5x5,MinimaxAI,MinimaxAI,Draw,0,2.545783
207,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.054851
208,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,167.503099
209,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.209949
210,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,59.304093
211,5x5,GeminiAI,MinimaxAI,Draw,25,10.020508
212,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.195270
213,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,133.182339
214,5x5,MinimaxAI,MinimaxAI,Draw,0,2.633869
215,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.073740
216,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,171.430430
